id,name,slug
0001,Aeugst am Albis,aeugst-am-albis
0002,Affoltern am Albis,affoltern-am-albis
0003,Bonstetten,bonstetten
0004,Hausen am Albis,hausen-am-albis
0005,Hedingen,hedingen
0006,Kappel am Albis,kappel-am-albis
0007,Knonau,knonau
0008,Maschwanden,maschwanden
0009,Mettmenstetten,mettmenstetten
0010,Obfelden,obfelden
0011,Ottenbach,ottenbach
0012,Rifferswil,rifferswil
0013,Stallikon,stallikon
0014,Wettswil am Albis,wettswil-am-albis
0022,Benken (ZH),benken-zh
0023,Berg am Irchel,berg-am-irchel
0024,Buch am Irchel,buch-am-irchel
0025,Dachsen,dachsen
0026,Dorf,dorf
0027,Feuerthalen,feuerthalen
0028,Flaach,flaach
0029,Flurlingen,flurlingen
0031,Henggart,henggart
0033,Kleinandelfingen,kleinandelfingen
0034,Laufen-Uhwiesen,laufen-uhwiesen
0035,Marthalen,marthalen
0037,Ossingen,ossingen
0038,Rheinau,rheinau
0039,Thalheim an der Thur,thalheim-an-der-thur
0040,Trüllikon,truellikon
0041,Truttikon,truttikon
0043,Volken,volken
0051,Bachenbülach,bachenbuelach
0052,Bassersdorf,bassersdorf
0053,Bülach,buelach
0054,Dietlikon,dietlikon
0055,Eglisau,eglisau
0056,Embrach,embrach
0057,Freienstein-Teufen,freienstein-teufen
0058,Glattfelden,glattfelden
0059,Hochfelden,hochfelden
0060,Höri,hoeri
0061,Hüntwangen,huentwangen
0062,Kloten,kloten
0063,Lufingen,lufingen
0064,Nürensdorf,nuerensdorf
0065,Oberembrach,oberembrach
0066,Opfikon,opfikon
0067,Rafz,rafz
0068,Rorbas,rorbas
0069,Wallisellen,wallisellen
0070,Wasterkingen,wasterkingen
0071,Wil (ZH),wil-zh
0072,Winkel,winkel
0081,Bachs,bachs
0082,Boppelsen,boppelsen
0083,Buchs (ZH),buchs-zh
0084,Dällikon,daellikon
0085,Dänikon,daenikon
0086,Dielsdorf,dielsdorf
0087,Hüttikon,huettikon
0088,Neerach,neerach
0089,Niederglatt,niederglatt
0090,Niederhasli,niederhasli
0091,Niederweningen,niederweningen
0092,Oberglatt,oberglatt
0093,Oberweningen,oberweningen
0094,Otelfingen,otelfingen
0095,Regensberg,regensberg
0096,Regensdorf,regensdorf
0097,Rümlang,ruemlang
0098,Schleinikon,schleinikon
0099,Schöfflisdorf,schoefflisdorf
0100,Stadel,stadel
0101,Steinmaur,steinmaur
0102,Weiach,weiach
0111,Bäretswil,baeretswil
0112,Bubikon,bubikon
0113,Dürnten,duernten
0114,Fischenthal,fischenthal
0115,Gossau (ZH),gossau-zh
0116,Grüningen,grueningen
0117,Hinwil,hinwil
0118,Rüti (ZH),rueti-zh
0119,Seegräben,seegraeben
0120,Wald (ZH),wald-zh
0121,Wetzikon (ZH),wetzikon-zh
0131,Adliswil,adliswil
0135,Kilchberg (ZH),kilchberg-zh
0136,Langnau am Albis,langnau-am-albis
0137,Oberrieden,oberrieden
0138,Richterswil,richterswil
0139,Rüschlikon,rueschlikon
0141,Thalwil,thalwil
0151,Erlenbach (ZH),erlenbach-zh
0152,Herrliberg,herrliberg
0153,Hombrechtikon,hombrechtikon
0154,Küsnacht (ZH),kuesnacht-zh
0155,Männedorf,maennedorf
0156,Meilen,meilen
0157,Oetwil am See,oetwil-am-see
0158,Stäfa,staefa
0159,Uetikon am See,uetikon-am-see
0160,Zumikon,zumikon
0161,Zollikon,zollikon
0172,Fehraltorf,fehraltorf
0173,Hittnau,hittnau
0176,Lindau,lindau
0177,Pfäffikon,pfaeffikon
0178,Russikon,russikon
0180,Weisslingen,weisslingen
0181,Wila,wila
0182,Wildberg,wildberg
0191,Dübendorf,duebendorf
0192,Egg,egg
0193,Fällanden,faellanden
0194,Greifensee,greifensee
0195,Maur,maur
0196,Mönchaltorf,moenchaltorf
0197,Schwerzenbach,schwerzenbach
0198,Uster,uster
0199,Volketswil,volketswil
0200,Wangen-Brüttisellen,wangen-bruettisellen
0211,Altikon,altikon
0213,Brütten,bruetten
0214,Dägerlen,daegerlen
0215,Dättlikon,daettlikon
0216,Dinhard,dinhard
0218,Ellikon an der Thur,ellikon-an-der-thur
0219,Elsau,elsau
0220,Hagenbuch,hagenbuch
0221,Hettlingen,hettlingen
0223,Neftenbach,neftenbach
0224,Pfungen,pfungen
0225,Rickenbach (ZH),rickenbach-zh
0226,Schlatt (ZH),schlatt-zh
0227,Seuzach,seuzach
0228,Turbenthal,turbenthal
0230,Winterthur,winterthur
0231,Zell (ZH),zell-zh
0241,Aesch (ZH),aesch-zh
0242,Birmensdorf (ZH),birmensdorf-zh
0243,Dietikon,dietikon
0244,Geroldswil,geroldswil
0245,Oberengstringen,oberengstringen
0246,Oetwil an der Limmat,oetwil-an-der-limmat
0247,Schlieren,schlieren
0248,Uitikon,uitikon
0249,Unterengstringen,unterengstringen
0250,Urdorf,urdorf
0251,Weiningen (ZH),weiningen-zh
0261,Zürich,zuerich
0291,Andelfingen,andelfingen
0292,Stammheim,stammheim
0293,Wädenswil,waedenswil
0294,Elgg,elgg
0295,Horgen,horgen
0296,Illnau-Effretikon,illnau-effretikon
0297,Bauma,bauma
0298,Wiesendangen,wiesendangen
0301,Aarberg,aarberg
0302,Bargen (BE),bargen-be
0303,Grossaffoltern,grossaffoltern
0304,Kallnach,kallnach
0305,Kappelen,kappelen
0306,Lyss,lyss
0307,Meikirch,meikirch
0309,Radelfingen,radelfingen
0310,Rapperswil (BE),rapperswil-be
0311,Schüpfen,schuepfen
0312,Seedorf (BE),seedorf-be
0321,Aarwangen,aarwangen
0322,Auswil,auswil
0323,Bannwil,bannwil
0324,Bleienbach,bleienbach
0325,Busswil bei Melchnau,busswil-bei-melchnau
0326,Gondiswil,gondiswil
0329,Langenthal,langenthal
0331,Lotzwil,lotzwil
0332,Madiswil,madiswil
0333,Melchnau,melchnau
0335,Oeschenbach,oeschenbach
0336,Reisiswil,reisiswil
0337,Roggwil (BE),roggwil-be
0338,Rohrbach,rohrbach
0339,Rohrbachgraben,rohrbachgraben
0340,Rütschelen,ruetschelen
0341,Schwarzhäusern,schwarzhaeusern
0342,Thunstetten,thunstetten
0344,Ursenbach,ursenbach
0345,Wynau,wynau
0351,Bern,bern
0352,Bolligen,bolligen
0353,Bremgarten bei Bern,bremgarten-bei-bern
0354,Kirchlindach,kirchlindach
0355,Köniz,koeniz
0356,Muri bei Bern,muri-bei-bern
0357,Oberbalm,oberbalm
0358,Stettlen,stettlen
0359,Vechigen,vechigen
0360,Wohlen bei Bern,wohlen-bei-bern
0361,Zollikofen,zollikofen
0362,Ittigen,ittigen
0363,Ostermundigen,ostermundigen
0371,Biel/Bienne,biel-bienne
0372,Evilard,evilard
0381,Arch,arch
0382,Büetigen,bueetigen
0383,Büren an der Aare,bueren-an-der-aare
0385,Diessbach bei Büren,diessbach-bei-bueren
0386,Dotzigen,dotzigen
0387,Lengnau (BE),lengnau-be
0388,Leuzigen,leuzigen
0389,Meienried,meienried
0390,Meinisberg,meinisberg
0391,Oberwil bei Büren,oberwil-bei-bueren
0392,Pieterlen,pieterlen
0393,Rüti bei Büren,rueti-bei-bueren
0394,Wengi,wengi
0401,Aefligen,aefligen
0402,Alchenstorf,alchenstorf
0403,Bäriswil,baeriswil
0404,Burgdorf,burgdorf
0405,Ersigen,ersigen
0406,Hasle bei Burgdorf,hasle-bei-burgdorf
0407,Heimiswil,heimiswil
0408,Hellsau,hellsau
0409,Hindelbank,hindelbank
0410,Höchstetten,hoechstetten
0411,Kernenried,kernenried
0412,Kirchberg (BE),kirchberg-be
0413,Koppigen,koppigen
0414,Krauchthal,krauchthal
0415,Lyssach,lyssach
0418,Oberburg,oberburg
0420,Rüdtligen-Alchenflüh,ruedtligen-alchenflueh
0421,Rumendingen,rumendingen
0422,Rüti bei Lyssach,rueti-bei-lyssach
0423,Willadingen,willadingen
0424,Wynigen,wynigen
0431,Corgémont,corgemont
0432,Cormoret,cormoret
0433,Cortébert,cortebert
0434,Courtelary,courtelary
0435,La Ferrière,la-ferriere
0437,Mont-Tramelan,mont-tramelan
0438,Orvin,orvin
0441,Renan (BE),renan-be
0442,Romont (BE),romont-be
0443,Saint-Imier,saint-imier
0444,Sonceboz-Sombeval,sonceboz-sombeval
0445,Sonvilier,sonvilier
0446,Tramelan,tramelan
0448,Villeret,villeret
0449,Sauge,sauge
0450,Péry-La Heutte,pery-la-heutte
0491,Brüttelen,bruettelen
0492,Erlach,erlach
0493,Finsterhennen,finsterhennen
0494,Gals,gals
0495,Gampelen,gampelen
0496,Ins,ins
0497,Lüscherz,luescherz
0498,Müntschemier,muentschemier
0499,Siselen,siselen
0500,Treiten,treiten
0501,Tschugg,tschugg
0502,Vinelz,vinelz
0533,Bätterkinden,baetterkinden
0535,Deisswil bei Münchenbuchsee,deisswil-bei-muenchenbuchsee
0538,Fraubrunnen,fraubrunnen
0540,Jegenstorf,jegenstorf
0541,Iffwil,iffwil
0543,Mattstetten,mattstetten
0544,Moosseedorf,moosseedorf
0546,Münchenbuchsee,muenchenbuchsee
0551,Urtenen-Schönbühl,urtenen-schoenbuehl
0552,Utzenstorf,utzenstorf
0553,Wiggiswil,wiggiswil
0554,Wiler bei Utzenstorf,wiler-bei-utzenstorf
0556,Zielebach,zielebach
0557,Zuzwil (BE),zuzwil-be
0561,Adelboden,adelboden
0562,Aeschi bei Spiez,aeschi-bei-spiez
0563,Frutigen,frutigen
0564,Kandergrund,kandergrund
0565,Kandersteg,kandersteg
0566,Krattigen,krattigen
0567,Reichenbach im Kandertal,reichenbach-im-kandertal
0571,Beatenberg,beatenberg
0572,Bönigen,boenigen
0573,Brienz (BE),brienz-be
0574,Brienzwiler,brienzwiler
0575,Därligen,daerligen
0576,Grindelwald,grindelwald
0577,Gsteigwiler,gsteigwiler
0578,Gündlischwand,guendlischwand
0579,Habkern,habkern
0580,Hofstetten bei Brienz,hofstetten-bei-brienz
0581,Interlaken,interlaken
0582,Iseltwald,iseltwald
0584,Lauterbrunnen,lauterbrunnen
0585,Leissigen,leissigen
0586,Lütschental,luetschental
0587,Matten bei Interlaken,matten-bei-interlaken
